mold_id,shape,type,application,length_mm,width_mm,height_thickness_mm,diameter_mm,wall_thickness_mm,volume_liters,surface_area_mm2,cavity_count,injection_points,typical_material,typical_density_kgm3,cycle_time_estimate_s,notes
MOLD-RECT-00034,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,500,40,,,6.0,364000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,42.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00035,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,500,45,,,6.75,372000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,44.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00036,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,500,50,,,7.5,380000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,45.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00037,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,600,10,,,1.8,378000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00038,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,600,15,,,2.7,387000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00039,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,600,20,,,3.6,396000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,37.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00040,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",300,600,25,,,4.5,405000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,39.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00041,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,600,30,,,5.4,414000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,41.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00042,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,600,35,,,6.3,423000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,43.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00043,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,600,40,,,7.2,432000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,44.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00044,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,600,45,,,8.1,441000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,46.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00045,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",300,600,50,,,9.0,450000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,48.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00046,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,200,10,,,0.8,172000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,32.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00047,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,200,15,,,1.2,178000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,32.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00048,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,200,20,,,1.6,184000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,33.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00049,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,200,25,,,2.0,190000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00050,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,200,30,,,2.4,196000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00051,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,200,35,,,2.8,202000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00052,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,200,40,,,3.2,208000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00053,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,200,45,,,3.6,214000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,37.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00054,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,200,50,,,4.0,220000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00055,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,300,10,,,1.2,254000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,32.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00056,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,300,15,,,1.8,261000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00057,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,300,20,,,2.4,268000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00058,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,300,25,,,3.0,275000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00059,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,300,30,,,3.6,282000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,37.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00060,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,300,35,,,4.2,289000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00061,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,300,40,,,4.8,296000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00062,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,300,45,,,5.4,303000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,41.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00063,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,300,50,,,6.0,310000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,42.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00064,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,400,10,,,1.6,336000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,33.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00065,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,400,15,,,2.4,344000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00066,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,400,20,,,3.2,352000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00067,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,400,25,,,4.0,360000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00068,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,400,30,,,4.8,368000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00069,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,400,35,,,5.6,376000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,41.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00070,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,400,40,,,6.4,384000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,43.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00071,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,400,45,,,7.2,392000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,44.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00072,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,400,50,,,8.0,400000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,46.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00073,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,500,10,,,2.0,418000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00074,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,500,15,,,3.0,427000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00075,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,500,20,,,4.0,436000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00076,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,500,25,,,5.0,445000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00077,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,500,30,,,6.0,454000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,42.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00078,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,500,35,,,7.0,463000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,44.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00079,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,500,40,,,8.0,472000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,46.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00080,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,500,45,,,9.0,481000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,48.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00081,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,500,50,,,10.0,490000,1,2,"Ecofoam Standard, Ecomate Spray EC",40,50.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00082,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,600,10,,,2.4,500000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00083,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,600,15,,,3.6,510000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,37.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00084,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,600,20,,,4.8,520000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00085,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",400,600,25,,,6.0,530000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,42.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00086,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,600,30,,,7.2,540000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,44.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00087,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,600,35,,,8.4,550000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,47.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00088,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,600,40,,,9.6,560000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,49.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00089,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,600,45,,,10.8,570000,1,2,"Ecofoam Standard, Ecomate Spray EC",40,52.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00090,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",400,600,50,,,12.0,580000,1,2,"Ecofoam Standard, Ecomate Spray EC",40,54.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00091,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,200,10,,,1.0,214000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,32.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00092,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,200,15,,,1.5,221000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,33.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00093,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,200,20,,,2.0,228000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00094,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,200,25,,,2.5,235000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00095,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,200,30,,,3.0,242000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00096,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,200,35,,,3.5,249000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,37.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00097,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,200,40,,,4.0,256000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00098,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,200,45,,,4.5,263000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,39.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00099,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,200,50,,,5.0,270000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00100,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,300,10,,,1.5,316000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,33.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00101,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,300,15,,,2.25,324000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00102,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,300,20,,,3.0,332000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00103,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,300,25,,,3.75,340000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00104,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,300,30,,,4.5,348000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,39.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00105,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,300,35,,,5.25,356000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00106,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,300,40,,,6.0,364000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,42.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00107,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,300,45,,,6.75,372000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,44.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00108,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,300,50,,,7.5,380000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,45.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00109,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,400,10,,,2.0,418000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,34.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00110,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,400,15,,,3.0,427000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,36.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00111,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,400,20,,,4.0,436000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00112,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,400,25,,,5.0,445000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00113,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,400,30,,,6.0,454000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,42.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00114,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,400,35,,,7.0,463000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,44.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00115,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,400,40,,,8.0,472000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,46.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00116,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,400,45,,,9.0,481000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,48.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00117,Rectangular,Small Panel,"Refrigerator Panel, Medium Insulation",500,400,50,,,10.0,490000,1,2,"Ecofoam Standard, Ecomate Spray EC",40,50.0,"Small Panel for Refrigerator Panel, Medium Insulation"
MOLD-RECT-00118,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,500,10,,,2.5,520000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,35.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00119,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,500,15,,,3.75,530000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,38.0,"Small Panel for Appliance Door Core, Light Insulation"
MOLD-RECT-00120,Rectangular,Small Panel,"Appliance Door Core, Light Insulation",500,500,20,,,5.0,540000,1,1,"Ecofoam Standard, Ecomate Spray EC",40,40.0,"Small Panel for Appliance Door Core, Light Insulation"
