pipe_id,inner_diameter_mm,outer_diameter_mm,wall_thickness_mm,length_mm,cross_section_area_mm2,volume_liters,size_class,length_class,recommended_max_pressure_bar,material,surface_roughness_um,temperature_rating_c,notes
PIPE-00035,4,6.0,1.0,390,12.57,0.0049,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00036,4,6.0,1.0,400,12.57,0.005,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00037,4,6.0,1.0,410,12.57,0.0052,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00038,4,6.0,1.0,420,12.57,0.0053,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00039,4,6.0,1.0,430,12.57,0.0054,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00040,4,6.0,1.0,440,12.57,0.0055,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00041,4,6.0,1.0,450,12.57,0.0057,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00042,4,6.0,1.0,460,12.57,0.0058,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00043,4,6.0,1.0,470,12.57,0.0059,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00044,4,6.0,1.0,480,12.57,0.006,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00045,4,6.0,1.0,490,12.57,0.0062,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00046,4,6.0,1.0,500,12.57,0.0063,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00047,4,6.0,1.0,500,12.57,0.0063,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00048,4,6.0,1.0,525,12.57,0.0066,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00049,4,6.0,1.0,550,12.57,0.0069,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00050,4,6.0,1.0,575,12.57,0.0072,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00051,4,6.0,1.0,600,12.57,0.0075,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00052,4,6.0,1.0,625,12.57,0.0079,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00053,4,6.0,1.0,650,12.57,0.0082,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00054,4,6.0,1.0,675,12.57,0.0085,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00055,4,6.0,1.0,700,12.57,0.0088,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00056,4,6.0,1.0,725,12.57,0.0091,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00057,4,6.0,1.0,750,12.57,0.0094,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00058,4,6.0,1.0,775,12.57,0.0097,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00059,4,6.0,1.0,800,12.57,0.0101,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00060,4,6.0,1.0,825,12.57,0.0104,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00061,4,6.0,1.0,850,12.57,0.0107,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00062,4,6.0,1.0,875,12.57,0.011,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00063,4,6.0,1.0,900,12.57,0.0113,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00064,4,6.0,1.0,925,12.57,0.0116,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00065,4,6.0,1.0,950,12.57,0.0119,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00066,4,6.0,1.0,975,12.57,0.0123,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00067,4,6.0,1.0,1000,12.57,0.0126,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00068,4,6.0,1.0,1000,12.57,0.0126,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00069,4,6.0,1.0,1050,12.57,0.0132,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00070,4,6.0,1.0,1100,12.57,0.0138,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00071,4,6.0,1.0,1150,12.57,0.0145,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00072,4,6.0,1.0,1200,12.57,0.0151,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00073,4,6.0,1.0,1250,12.57,0.0157,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00074,4,6.0,1.0,1300,12.57,0.0163,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00075,4,6.0,1.0,1350,12.57,0.017,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00076,4,6.0,1.0,1400,12.57,0.0176,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00077,4,6.0,1.0,1450,12.57,0.0182,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00078,4,6.0,1.0,1500,12.57,0.0188,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00079,4,6.0,1.0,1550,12.57,0.0195,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00080,4,6.0,1.0,1600,12.57,0.0201,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00081,4,6.0,1.0,1650,12.57,0.0207,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00082,4,6.0,1.0,1700,12.57,0.0214,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00083,4,6.0,1.0,1750,12.57,0.022,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00084,4,6.0,1.0,1800,12.57,0.0226,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00085,4,6.0,1.0,1850,12.57,0.0232,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00086,4,6.0,1.0,1900,12.57,0.0239,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00087,4,6.0,1.0,1950,12.57,0.0245,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00088,4,6.0,1.0,2000,12.57,0.0251,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00089,5,7.0,1.0,50,19.63,0.001,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00090,5,7.0,1.0,60,19.63,0.0012,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00091,5,7.0,1.0,70,19.63,0.0014,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00092,5,7.0,1.0,80,19.63,0.0016,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00093,5,7.0,1.0,90,19.63,0.0018,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00094,5,7.0,1.0,100,19.63,0.002,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00095,5,7.0,1.0,110,19.63,0.0022,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00096,5,7.0,1.0,120,19.63,0.0024,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00097,5,7.0,1.0,130,19.63,0.0026,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00098,5,7.0,1.0,140,19.63,0.0027,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00099,5,7.0,1.0,150,19.63,0.0029,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00100,5,7.0,1.0,160,19.63,0.0031,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00101,5,7.0,1.0,170,19.63,0.0033,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00102,5,7.0,1.0,180,19.63,0.0035,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00103,5,7.0,1.0,190,19.63,0.0037,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00104,5,7.0,1.0,200,19.63,0.0039,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00105,5,7.0,1.0,210,19.63,0.0041,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00106,5,7.0,1.0,220,19.63,0.0043,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00107,5,7.0,1.0,230,19.63,0.0045,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00108,5,7.0,1.0,240,19.63,0.0047,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00109,5,7.0,1.0,250,19.63,0.0049,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00110,5,7.0,1.0,260,19.63,0.0051,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00111,5,7.0,1.0,270,19.63,0.0053,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00112,5,7.0,1.0,280,19.63,0.0055,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00113,5,7.0,1.0,290,19.63,0.0057,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00114,5,7.0,1.0,300,19.63,0.0059,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00115,5,7.0,1.0,310,19.63,0.0061,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00116,5,7.0,1.0,320,19.63,0.0063,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00117,5,7.0,1.0,330,19.63,0.0065,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00118,5,7.0,1.0,340,19.63,0.0067,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00119,5,7.0,1.0,350,19.63,0.0069,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00120,5,7.0,1.0,360,19.63,0.0071,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00121,5,7.0,1.0,370,19.63,0.0073,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00122,5,7.0,1.0,380,19.63,0.0075,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00123,5,7.0,1.0,390,19.63,0.0077,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00124,5,7.0,1.0,400,19.63,0.0079,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00125,5,7.0,1.0,410,19.63,0.0081,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00126,5,7.0,1.0,420,19.63,0.0082,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00127,5,7.0,1.0,430,19.63,0.0084,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00128,5,7.0,1.0,440,19.63,0.0086,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00129,5,7.0,1.0,450,19.63,0.0088,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00130,5,7.0,1.0,460,19.63,0.009,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00131,5,7.0,1.0,470,19.63,0.0092,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00132,5,7.0,1.0,480,19.63,0.0094,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00133,5,7.0,1.0,490,19.63,0.0096,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00134,5,7.0,1.0,500,19.63,0.0098,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00135,5,7.0,1.0,500,19.63,0.0098,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00136,5,7.0,1.0,525,19.63,0.0103,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00137,5,7.0,1.0,550,19.63,0.0108,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00138,5,7.0,1.0,575,19.63,0.0113,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00139,5,7.0,1.0,600,19.63,0.0118,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00140,5,7.0,1.0,625,19.63,0.0123,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00141,5,7.0,1.0,650,19.63,0.0128,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00142,5,7.0,1.0,675,19.63,0.0133,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00143,5,7.0,1.0,700,19.63,0.0137,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00144,5,7.0,1.0,725,19.63,0.0142,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00145,5,7.0,1.0,750,19.63,0.0147,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00146,5,7.0,1.0,775,19.63,0.0152,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00147,5,7.0,1.0,800,19.63,0.0157,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00148,5,7.0,1.0,825,19.63,0.0162,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00149,5,7.0,1.0,850,19.63,0.0167,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00150,5,7.0,1.0,875,19.63,0.0172,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00151,5,7.0,1.0,900,19.63,0.0177,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00152,5,7.0,1.0,925,19.63,0.0182,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00153,5,7.0,1.0,950,19.63,0.0187,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00154,5,7.0,1.0,975,19.63,0.0191,Small,Long,12.0,Stainless Steel 316L,0.8,150,Small Long pipe for PU injection
PIPE-00155,5,7.0,1.0,1000,19.63,0.0196,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00156,5,7.0,1.0,1000,19.63,0.0196,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00157,5,7.0,1.0,1050,19.63,0.0206,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00158,5,7.0,1.0,1100,19.63,0.0216,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00159,5,7.0,1.0,1150,19.63,0.0226,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00160,5,7.0,1.0,1200,19.63,0.0236,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00161,5,7.0,1.0,1250,19.63,0.0245,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00162,5,7.0,1.0,1300,19.63,0.0255,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00163,5,7.0,1.0,1350,19.63,0.0265,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00164,5,7.0,1.0,1400,19.63,0.0275,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00165,5,7.0,1.0,1450,19.63,0.0285,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00166,5,7.0,1.0,1500,19.63,0.0295,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00167,5,7.0,1.0,1550,19.63,0.0304,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00168,5,7.0,1.0,1600,19.63,0.0314,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00169,5,7.0,1.0,1650,19.63,0.0324,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00170,5,7.0,1.0,1700,19.63,0.0334,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00171,5,7.0,1.0,1750,19.63,0.0344,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00172,5,7.0,1.0,1800,19.63,0.0353,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00173,5,7.0,1.0,1850,19.63,0.0363,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00174,5,7.0,1.0,1900,19.63,0.0373,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00175,5,7.0,1.0,1950,19.63,0.0383,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00176,5,7.0,1.0,2000,19.63,0.0393,Small,Extra Long,12.0,Stainless Steel 316L,0.8,150,Small Extra Long pipe for PU injection
PIPE-00177,6,8.0,1.0,50,28.27,0.0014,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00178,6,8.0,1.0,60,28.27,0.0017,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00179,6,8.0,1.0,70,28.27,0.002,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00180,6,8.0,1.0,80,28.27,0.0023,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00181,6,8.0,1.0,90,28.27,0.0025,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00182,6,8.0,1.0,100,28.27,0.0028,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00183,6,8.0,1.0,110,28.27,0.0031,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00184,6,8.0,1.0,120,28.27,0.0034,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00185,6,8.0,1.0,130,28.27,0.0037,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00186,6,8.0,1.0,140,28.27,0.004,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00187,6,8.0,1.0,150,28.27,0.0042,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00188,6,8.0,1.0,160,28.27,0.0045,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00189,6,8.0,1.0,170,28.27,0.0048,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00190,6,8.0,1.0,180,28.27,0.0051,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00191,6,8.0,1.0,190,28.27,0.0054,Small,Short,12.0,Stainless Steel 316L,0.8,150,Small Short pipe for PU injection
PIPE-00192,6,8.0,1.0,200,28.27,0.0057,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
PIPE-00193,6,8.0,1.0,210,28.27,0.0059,Small,Medium,12.0,Stainless Steel 316L,0.8,150,Small Medium pipe for PU injection
